,word,count
17464,"('señor', 'vocal', 'doctor')",236
19054,"('vocal', 'doctor', 'luis')",168
11782,"('luis', 'enricar', 'rubio')",164
11783,"('luis', 'eugenio', 'angulo')",155
12265,"('mercedes', 'blanc', 'arabel')",150
7001,"('doctor', 'luis', 'enricar')",150
11810,"('m.', 'mercedes', 'blanc')",148
3127,"('blanc', 'arabel', 'luis')",87
17476,"('señora', 'vocal', 'doctora')",86
7601,"('enricar', 'rubio', 'm.')",86
7002,"('doctor', 'luis', 'eugenio')",81
19058,"('vocal', 'doctora', 'm.')",76
7018,"('doctora', 'm.', 'mercedes')",76
18605,"('tribunal', 'superior', 'justicia')",75
11252,"('laboral', 'tribunal', 'superior')",73
16955,"('sala', 'laboral', 'tribunal')",73
7722,"('escala', 'medio', 'art')",68
2442,"('art', '36', 'ley')",68
16519,"('resultar', 'aplicar', 'escala')",67
2243,"('arabel', 'luis', 'eugenio')",67
14407,"('planteado', 'señor', 'vocal')",66
2161,"('aplicar', 'escala', 'medio')",66
5392,"('cuestion', 'planteado', 'señor')",66
12163,"('medio', 'art', '36')",66
17808,"('suma', 'resultar', 'aplicar')",65
16732,"('rubio', 'm.', 'mercedes')",62
4673,"('considerar el', 'art', '27')",54
19056,"('vocal', 'doctor', 'rubio')",48
609,"('36', 'ley', 'n°')",46
3879,"('ciento', 'suma', 'resultar')",45
18541,"('treinta', 'ciento', 'suma')",45
11517,"('ley', 'n°', '9459')",43
14827,"('previo', 'ejecucion', 'sentencia')",42
15482,"('quo', 'treinta', 'ciento')",42
8654,"('fecha', 'expediente', 'nro')",41
16510,"('resultado', 'votacion', 'anteceder')",40
7910,"('etapa', 'previo', 'ejecucion')",40
16327,"('resolucion', 'año', 'tomo')",37
17629,"('sorteo', 'ley', 'resultar')",37
17466,"('señor', 'vocal', 'emitir')",37
1990,"('anteceder', 'previo', 'tribunal')",37
14834,"('previo', 'tribunal', 'superior')",37
15517,"('raiz', 'recurso', 'concedido')",37
17854,"('superior', 'protocolo', 'sentencia')",37
5642,"('deber', 'considerar el', 'art')",37
11550,"('ley', 'resultar', 'señor')",37
18606,"('tribunal', 'superior', 'protocolo')",37
13303,"('nº', 'resolucion', 'año')",37
16808,"('s', 'l', 'v')",37
19086,"('votacion', 'anteceder', 'previo')",37
